ResourceGuid,LocalizationKey
5cc98bf3-8edd-4184-9e47-2ff40e4c556b,items_commodities_rantadung
167d6564-7325-49de-bc0a-406dbb54f5dc,items_commodities_special_holidaybox
9b47bacf-8efa-42e2-8d84-dee64983a00a,items_commodities_aphorite
7e86e2f4-6c31-41f8-9438-0fd8ad037426,items_commodities_dolivine
3e5fdc37-cb59-4fd3-8168-e3c538ab9722,items_commodities_hadanite
6c45b24e-bb2d-45f1-9622-f7ef9359dc77,items_commodities_amioshiplague
7df4bf83-34e8-451b-bfb6-e17149daf57e,items_commodities_carbonsilk
a0046f6f-ce84-4ca2-b5d1-d6598a9aad39,items_commodities_degnousroot
293cbddc-9515-456e-8090-bdc94f746619,items_commodities_heartofthewoods
70684af3-55f1-43db-8aca-eae33cfac445,items_commodities_prota
75982fed-2b4b-4433-be1f-5657fb783918,items_commodities_revenantpod
272539c8-e211-4c82-8bd0-6ecaabbc9c10,items_commodities_valakkarhide_irradiated
ff8c1dbd-5ced-4f0a-8c47-0cf3b751722f,items_commodities_special_lunar_envelope
83101c4a-baea-429f-b5db-2a439dabe963,item_NameMedical_fluid_storage_destructible
9177e3bb-6714-49f5-8beb-46a981226ff6,item_nameCarryable_1H_SQ_cable_bundle_1_a
6fc6df10-0267-4097-8233-67983e594669,items_commodities_altruciatoxin
ba11589f-a278-44e9-9bd9-79552832fc94,items_commodities_etam
d3c3ec68-b4ac-4504-85b3-e860a70eb9a5,items_commodities_neon
8950d9c5-8a54-4e2c-87a2-c56c1b9edd3c,items_commodities_slam
9890f3ac-8b41-4821-a1bd-2d64ab507c2b,items_commodities_slam
1996b79b-14bc-42ad-9cc4-36b0705fd284,harvestable_Armillaria_Lev
6e0cd1d0-80ad-47c8-8692-461eebf24bc2,items_commodities_bluebilva
469a34fe-2e37-4269-82eb-490eaed361a1,items_commodities_decaripod
def044a7-a56a-4f99-a497-ef6022113922,items_commodities_fotiascrub
d99498e8-1464-4ff7-8177-afd05d75c3d8,items_commodities_goldenmedmon
aaf46f4c-f8d8-4808-a39b-2b47de9b78fa,items_commodities_jumpinglimes
c339897c-d682-48ad-a16f-daf145bc0f4d,items_commodities_beradom
d7d39082-ba27-470c-bc9a-d9e82ce838ae,items_commodities_carinite
7310c15d-359c-42b4-b61e-7da3d0da3384,items_commodities_feynmaline
960eda23-d77c-425e-8cbd-89d94ca6e2aa,items_commodities_glacosite
