Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Slot,Damage Modifier,Projectile Speed Modifier,Heat Modifier,Magnification,Aim Time Modifier,Sound Radius Modifier
arma_barrel_comp_s1_02,item_Namearma_barrel_comp_s1_02,,item_Descarma_barrel_comp_s1_02,ARMA,1,1,Barrel,,Barrel,1,1,1,1 / 1,1.2,1
arma_barrel_comp_s1_03,item_Namearma_barrel_comp_s1_03,,item_Descarma_barrel_comp_s1_03,ARMA,1,1,Barrel,,Barrel,1,1,1,1 / 1,1.15,1.2
arma_barrel_comp_s1_04,item_Namearma_barrel_comp_s1_04,,item_Descarma_barrel_comp_s1_04,ARMA,1,1,Barrel,,Barrel,1.175,1,1,1 / 1,1,1
arma_barrel_comp_s1_contestedzonereward,item_namarma_barrel_comp_s1_contestedzonereward,,item_descarma_barrel_comp_s1_contestedzonereward,ARMA,1,1,Barrel,,Barrel,1,1,1,1 / 1,1,1
arma_barrel_comp_s1,item_Namearma_barrel_comp_s1,,item_Descarma_barrel_comp_s1,ARMA,1,1,Barrel,,Barrel,1,1,1,1 / 1,1,1.2
arma_barrel_comp_s2_02,item_Namearma_barrel_comp_s2_02,,item_Descarma_barrel_comp_s2_02,ARMA,2,1,Barrel,,Barrel,1,1,1,1 / 1,1,1
arma_barrel_comp_s2_03,item_Namearma_barrel_comp_s2_03,,item_Descarma_barrel_comp_s2_03,ARMA,2,1,Barrel,,Barrel,1.05,1.35,1,1 / 1,1.15,1
arma_barrel_comp_s2_04,item_Namearma_barrel_comp_s2_04,,item_Descarma_barrel_comp_s2_04,ARMA,2,1,Barrel,,Barrel,1,1,1,1 / 1,1.075,1
arma_barrel_comp_s2_contestedzonereward,item_namearma_barrel_comp_s2_contestedzonereward,,item_descarma_barrel_comp_s2_contestedzonereward,ARMA,2,1,Barrel,,Barrel,0.9,1,1,1 / 1,1.25,1.2
arma_barrel_comp_s2_firerats01,item_Namearma_barrel_comp_s2_firerats01,item_Namearma_barrel_comp_s2_firerats01_short,item_Descarma_barrel_comp_s2_firerats01,ARMA,2,1,Barrel,,Barrel,0.9,0.875,1,1 / 1,1,1.2
arma_barrel_comp_s2,item_Namearma_barrel_comp_s2,,item_Descarma_barrel_comp_s2,ARMA,2,1,Barrel,,Barrel,1,1,1,1 / 1,1,1.2
arma_barrel_comp_s3_02,item_Namearma_barrel_comp_s3_02,,item_Descarma_barrel_comp_s3_02,ARMA,3,1,Barrel,,Barrel,1,0.85,1,1 / 1,0.65,1
arma_barrel_comp_s3_03,item_Namearma_barrel_comp_s3_03,,item_Descarma_barrel_comp_s3_03,ARMA,3,1,Barrel,,Barrel,1,1,1,1 / 1,1,1.2
arma_barrel_comp_s3_04,item_Namearma_barrel_comp_s3_04,,item_Descarma_barrel_comp_s3_04,ARMA,3,1,Barrel,,Barrel,1.075,1.075,1,1 / 1,1,1.2
arma_barrel_comp_s3,item_Namearma_barrel_comp_s3,,item_Descarma_barrel_comp_s3,ARMA,3,1,Barrel,,Barrel,1,1,1,1 / 1,1,1.2
arma_barrel_flhd_s1,item_Namearma_barrel_flhd_s1,,item_Descarma_barrel_flhd_s1,ARMA,1,1,Barrel,,Barrel,1,1,1,1 / 1,1,1
arma_barrel_flhd_s2,item_Namearma_barrel_flhd_s2,,item_Descarma_barrel_flhd_s2,ARMA,2,1,Barrel,,Barrel,1,1,1,1 / 1,1,1
arma_barrel_flhd_s3,item_Namearma_barrel_flhd_s3,,item_Descarma_barrel_flhd_s3,ARMA,3,1,Barrel,,Barrel,1,1,1,1 / 1,1,1
arma_barrel_stab_s1_02,item_Namearma_barrel_stab_s1_02,,item_Descarma_barrel_stab_s1_02,ARMA,1,1,Barrel,,Barrel,0.9,1,1,1 / 1,1,1
