Provider Class,System,Location,Group Name,Group Probability,Entry Index,Harvestable GUID,Harvestable Class,Harvestable Path,Harvestable Entity GUID,Harvestable Entity Class,Harvestable Entity Path,Harvestable Setup GUID,Harvestable Setup Class,Composition GUID,Composition Class,Global Params GUID,Audio Params GUID,Filled Factor,Clustering GUID,Clustering Class,Relative Probability,Geometry Tags,Record GUID,Record Path
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.0,0e437c69-8bfe-42ae-baf0-9a80f0fe8a53,Mining_AsteroidCommon_Ice,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidcommon_ice.xml,3aee138f-553f-44e7-bd62-4ba34e22361f,MineableRock_AsteroidCommon_Ice,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_ice.xml,,,3fc54018-acc4-4b34-aac1-bb97aa2bbece,CommonShipMineablesAsteroid_Ice,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,1f5f80cc-1b4d-41df-8481-5d07d00441a7,CommonShipMineable_Cluster,13.9,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.1,32e10884-1191-474b-9e6c-46579c830f18,Mining_AsteroidCommon_Aluminum,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidcommon_aluminum.xml,1c949ce0-c99b-485b-b783-2ea3b49162c0,MineableRock_AsteroidCommon_Aluminum,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_aluminum.xml,,,d8e3343e-b79a-4734-8c96-dfe5b0272e94,CommonShipMineablesAsteroid_Aluminum,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,1f5f80cc-1b4d-41df-8481-5d07d00441a7,CommonShipMineable_Cluster,13.8,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.2,f2efbeac-f393-4ff1-bbeb-a232b2fddd94,Mining_AsteroidCommon_Iron,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidcommon_iron.xml,35f663f2-a499-4da3-a3ac-a1d834667931,MineableRock_AsteroidCommon_Iron,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_iron.xml,,,ece23c39-ebb8-4a72-871b-5413e70619bf,CommonShipMineablesAsteroid_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,1f5f80cc-1b4d-41df-8481-5d07d00441a7,CommonShipMineable_Cluster,13.8,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.3,7fdc10f9-d8d9-491b-b6d3-21a99012c22f,Mining_AsteroidEpic_Lindinium,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidepic_lindinium.xml,17205afb-5064-4181-b987-d77499e087a4,MineableRock_AsteroidEpic_Lindinium,libs/foundry/records/entities/mineable/mineablerock_asteroidepic_lindinium.xml,,,fd7dc10a-19a4-4f82-aae2-52ac35bda567,EpicShipMineablesAsteroid_Lindinium,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,b097c899-4a14-4092-8d07-75c1cf9d05c2,EpicShipMineable_Cluster,10,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.4,78f73580-e222-46a1-85cb-9f9352823b77,Mining_AsteroidRare_Bexalite,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidrare_bexalite.xml,2b8a76ae-593e-4268-9a56-c20ce202e8a8,MineableRock_AsteroidRare_Bexalite,libs/foundry/records/entities/mineable/mineablerock_asteroidrare_bexalite.xml,,,004c1ddd-ee4e-4c77-92bd-50739bb0e23e,RareShipMineablesAsteroid_Bexalite,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,cd074871-2f6d-45c1-a88f-38b21ef02309,RareShipMineable_Cluster,18,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.5,fb87c065-bb1a-4a41-a6a6-a2b9d299e775,Mining_AsteroidLegendary_Savrilium,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidlegendary_savrilium.xml,2a3d97fe-ce09-4e92-9d67-8f78819446ea,MineableRock_AsteroidLegendary_Savrilium,libs/foundry/records/entities/mineable/mineablerock_asteroidlegendary_savrilium.xml,,,3375ee93-f695-40d2-b86c-1ad23802e59b,LegendaryShipMineablesAsteroid_Savrilium,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,3638ea41-8218-4f04-948c-40beaa3e9ee9,LegendaryShipMineable_Cluster,2,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_GlaciemRing,nyx,asteroidfield/hpp_nyx_glaciemring,SpaceShip_Mineables,0.1,0.6,95669108-231c-46ff-8adb-ffbab36b2445,Mining_AsteroidUncommon_Torite,libs/foundry/records/harvestable/harvestablepresets/mining_asteroiduncommon_torite.xml,5d6549ec-e809-4290-95a6-62b7d2ab4681,MineableRock_AsteroidUncommon_Torite,libs/foundry/records/entities/mineable/mineablerock_asteroiduncommon_torite.xml,,,ed5af002-dbbc-41aa-b5b3-44e686a83b36,UncommonShipMineablesAsteroid_Torite,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,cf2ebacb-255a-40e6-b300-7414c949ce76,UncommonShipMineable_Cluster,28.5,,e9aa8f98-4c87-468f-ae03-10a96d9497e5,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_glaciemring.xml
HPP_Nyx_KeegerBelt,nyx,asteroidfield/hpp_nyx_keegerbelt,SpaceShip_Mineables,0.1,0.0,0e437c69-8bfe-42ae-baf0-9a80f0fe8a53,Mining_AsteroidCommon_Ice,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidcommon_ice.xml,3aee138f-553f-44e7-bd62-4ba34e22361f,MineableRock_AsteroidCommon_Ice,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_ice.xml,,,3fc54018-acc4-4b34-aac1-bb97aa2bbece,CommonShipMineablesAsteroid_Ice,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,1f5f80cc-1b4d-41df-8481-5d07d00441a7,CommonShipMineable_Cluster,13.9,,230aecd3-2e5b-4d58-a884-bbba59a40cf7,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_keegerbelt.xml
HPP_Nyx_KeegerBelt,nyx,asteroidfield/hpp_nyx_keegerbelt,SpaceShip_Mineables,0.1,0.1,32e10884-1191-474b-9e6c-46579c830f18,Mining_AsteroidCommon_Aluminum,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidcommon_aluminum.xml,1c949ce0-c99b-485b-b783-2ea3b49162c0,MineableRock_AsteroidCommon_Aluminum,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_aluminum.xml,,,d8e3343e-b79a-4734-8c96-dfe5b0272e94,CommonShipMineablesAsteroid_Aluminum,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,1f5f80cc-1b4d-41df-8481-5d07d00441a7,CommonShipMineable_Cluster,13.8,,230aecd3-2e5b-4d58-a884-bbba59a40cf7,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_keegerbelt.xml
HPP_Nyx_KeegerBelt,nyx,asteroidfield/hpp_nyx_keegerbelt,SpaceShip_Mineables,0.1,0.2,f2efbeac-f393-4ff1-bbeb-a232b2fddd94,Mining_AsteroidCommon_Iron,libs/foundry/records/harvestable/harvestablepresets/mining_asteroidcommon_iron.xml,35f663f2-a499-4da3-a3ac-a1d834667931,MineableRock_AsteroidCommon_Iron,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_iron.xml,,,ece23c39-ebb8-4a72-871b-5413e70619bf,CommonShipMineablesAsteroid_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,5f5c1a61-6500-46a1-8a01-7ba4956751d1,1,1f5f80cc-1b4d-41df-8481-5d07d00441a7,CommonShipMineable_Cluster,13.8,,230aecd3-2e5b-4d58-a884-bbba59a40cf7,libs/foundry/records/harvestable/providerpresets/system/nyx/asteroidfield/hpp_nyx_keegerbelt.xml
