contractId,debugName,title,blueprintPoolId,poolName,chance,trigger,blueprintSource,blueprintItems
80933e8d-c9bf-492b-b69f-c5abd24962e9,HH_Pyro_RegionB_M_CFPOutposts_EliminateAll,[LOCATION] has been greenlit,e9947de1-6160-4d62-a319-2f4693140c88,BP_MISSIONREWARD_HeadHunters_MercenaryFPS_EliminateALL_RegionAB,1,,,"[{""weight"":1,""name"":""Atzkav Sniper Rifle""},{""weight"":1,""name"":""Atzkav \""Igniter\"" Sniper Rifle""},{""weight"":1,""name"":""Atzkav \""Mirage\"" Sniper Rifle""},{""weight"":1,""name"":""Calico Arms Tactical""},{""weight"":1,""name"":""Calico Core Tactical""},{""weight"":1,""name"":""Calico Legs Tactical""},{""weight"":1,""name"":""Calico Helmet Tactical""},{""weight"":1,""name"":""Atzkav Sniper Rifle Battery (8 cap)""}]"
2faacd74-10f4-4b31-8e24-cca9c78841b8,CFP_Pyro_RegionB_M_CFPXSOutposts_HH_EliminateAll,[LOCATION] needs assistance,633d4069-c160-43d2-892d-2d8222261c20,BP_MISSIONREWARD_CFP_Outpost_RegionAB,1,,,"[{""weight"":1,""name"":""Karna Rifle""},{""weight"":1,""name"":""Artimex Arms""},{""weight"":1,""name"":""Artimex Core""},{""weight"":1,""name"":""Artimex Legs""},{""weight"":1,""name"":""Artimex Helmet""},{""weight"":1,""name"":""Karna Rifle Battery (35 cap)""}]"
3c33b776-e65f-46fc-930e-52e326df8ddc,CFP_Pyro_RegionA_H_CFPOutposts_MultiEliminateAllAndBoss,[LOCATION] needs help,a2da9707-9859-4da0-9f4b-90e5afe45833,BP_MISSIONREWARD_CFP_Outpost_RegionC,1,,,"[{""weight"":1,""name"":""Karna Rifle""},{""weight"":1,""name"":""Artimex Core Canuto""},{""weight"":1,""name"":""Artimex Arms Canuto""},{""weight"":1,""name"":""Artimex Legs Canuto""},{""weight"":1,""name"":""Artimex Helmet Canuto""},{""weight"":1,""name"":""Karna Rifle Battery (35 cap)""}]"
12e92b29-e5a8-4ba7-95a4-122d6c992684,HH_Pyro_RegionB_E_ChainElimAll_1Cluster_AttackCFP,A little retaliation,e9947de1-6160-4d62-a319-2f4693140c88,BP_MISSIONREWARD_HeadHunters_MercenaryFPS_EliminateALL_RegionAB,1,,,"[{""weight"":1,""name"":""Atzkav Sniper Rifle""},{""weight"":1,""name"":""Atzkav \""Igniter\"" Sniper Rifle""},{""weight"":1,""name"":""Atzkav \""Mirage\"" Sniper Rifle""},{""weight"":1,""name"":""Calico Arms Tactical""},{""weight"":1,""name"":""Calico Core Tactical""},{""weight"":1,""name"":""Calico Legs Tactical""},{""weight"":1,""name"":""Calico Helmet Tactical""},{""weight"":1,""name"":""Atzkav Sniper Rifle Battery (8 cap)""}]"
5916ef35-13d3-4223-8fe3-c399a02290ce,HH_Pyro_RegionA_E_DerelictOutpostsCaves_EliminateAll,A Swift Reprisal,e9947de1-6160-4d62-a319-2f4693140c88,BP_MISSIONREWARD_HeadHunters_MercenaryFPS_EliminateALL_RegionAB,1,,,"[{""weight"":1,""name"":""Atzkav Sniper Rifle""},{""weight"":1,""name"":""Atzkav \""Igniter\"" Sniper Rifle""},{""weight"":1,""name"":""Atzkav \""Mirage\"" Sniper Rifle""},{""weight"":1,""name"":""Calico Arms Tactical""},{""weight"":1,""name"":""Calico Core Tactical""},{""weight"":1,""name"":""Calico Legs Tactical""},{""weight"":1,""name"":""Calico Helmet Tactical""},{""weight"":1,""name"":""Atzkav Sniper Rifle Battery (8 cap)""}]"
4d1cc670-7249-4edc-ab59-75a26aaa78d0,Vaughn_Rockcracker_Maintenance_EliminateSpecific,A Well Deserved Break,e52bf354-8918-474d-987e-55c01bfecdd3,BP_MISSIONREWARD_RDC_Generic,1,,,"[{""weight"":1,""name"":""R97 Shotgun""},{""weight"":1,""name"":""Monde Arms""},{""weight"":1,""name"":""Monde Core""},{""weight"":1,""name"":""Monde Legs""},{""weight"":1,""name"":""Monde Helmet""},{""weight"":1,""name"":""Monde Arms Hiro""},{""weight"":1,""name"":""Monde Core Hiro""},{""weight"":1,""name"":""Monde Legs Hiro""},{""weight"":1,""name"":""Monde Helmet Hiro""},{""weight"":1,""name"":""R97 Shotgun Magazine (18 cap)""}]"
12a01016-d0e9-400c-b285-0016401eebda,Vaughn_Rockcracker_Opsroom_EliminateSpecific,A Well Deserved Break,e52bf354-8918-474d-987e-55c01bfecdd3,BP_MISSIONREWARD_RDC_Generic,1,,,"[{""weight"":1,""name"":""R97 Shotgun""},{""weight"":1,""name"":""Monde Arms""},{""weight"":1,""name"":""Monde Core""},{""weight"":1,""name"":""Monde Legs""},{""weight"":1,""name"":""Monde Helmet""},{""weight"":1,""name"":""Monde Arms Hiro""},{""weight"":1,""name"":""Monde Core Hiro""},{""weight"":1,""name"":""Monde Legs Hiro""},{""weight"":1,""name"":""Monde Helmet Hiro""},{""weight"":1,""name"":""R97 Shotgun Magazine (18 cap)""}]"
38a1dfde-22f0-46a2-80de-ea4949a409c6,Vaughn_Rockcracker_Power_EliminateSpecific,A Well Deserved Break,e52bf354-8918-474d-987e-55c01bfecdd3,BP_MISSIONREWARD_RDC_Generic,1,,,"[{""weight"":1,""name"":""R97 Shotgun""},{""weight"":1,""name"":""Monde Arms""},{""weight"":1,""name"":""Monde Core""},{""weight"":1,""name"":""Monde Legs""},{""weight"":1,""name"":""Monde Helmet""},{""weight"":1,""name"":""Monde Arms Hiro""},{""weight"":1,""name"":""Monde Core Hiro""},{""weight"":1,""name"":""Monde Legs Hiro""},{""weight"":1,""name"":""Monde Helmet Hiro""},{""weight"":1,""name"":""R97 Shotgun Magazine (18 cap)""}]"
9bd0c215-ece8-42b6-9145-f50664b252d1,Rayari_Rank3_IrradiatedPearls,Additional Resources For Research,5abbcbe8-8af1-4b76-8a85-631eeff5903d,BP_MISSIONREWARD_Rayari_RecoverItem_Irradiated,0.25,,,"[{""weight"":1,""name"":""Prism \""Deep Sea\"" Laser Shotgun""},{""weight"":1,""name"":""Prism \""Bonedust\"" Laser Shotgun""},{""weight"":1,""name"":""Prism \""Firesteel\"" Laser Shotgun""},{""weight"":1,""name"":""Prism Laser Shotgun""},{""weight"":1,""name"":""Stirling Exploration Suit""},{""weight"":1,""name"":""Siebe Helmet""},{""weight"":1,""name"":""Prism Laser Shotgun Battery (20 cap)""}]"
115dab47-1987-4317-8a8f-b9466976a7b6,Rayari_Rank3_YormandiEyes,Additional Resources For Research,0f03e098-cc68-4a14-abe8-7b17a8bec97e,BP_MISSIONREWARD_BountyHuntersGuild_PAF_EliminateSpecific,0.25,,,"[{""weight"":1,""name"":""P8-AR Rifle""},{""weight"":1,""name"":""Palatino Arms""},{""weight"":1,""name"":""Palatino Core""},{""weight"":1,""name"":""Palatino Legs""},{""weight"":1,""name"":""Palatino Helmet""},{""weight"":1,""name"":""Palatino Arms Moonfall""},{""weight"":1,""name"":""Palatino Core Moonfall""},{""weight"":1,""name"":""Palatino Legs Moonfall""},{""weight"":1,""name"":""Palatino Helmet Moonfall""},{""weight"":1,""name"":""P8-AR Rifle Magazine (15 Cap)""}]"
