id,name,source,blueprints
5d78a8d6-6911-4eda-97b6-9e315025147d,BP_MISSIONREWARD_ASD2A,,"[{""weight"":1,""name"":""Fresnel Energy LMG""},{""weight"":1,""name"":""Zenith Laser Sniper Rifle""},{""weight"":1,""name"":""Geist Armor Arms Forest""},{""weight"":1,""name"":""Geist Armor Core Forest""},{""weight"":1,""name"":""Geist Armor Legs Forest""},{""weight"":1,""name"":""Geist Armor Helmet Forest""},{""weight"":1,""name"":""Corbel Arms Mire""},{""weight"":1,""name"":""Corbel Core Mire""},{""weight"":1,""name"":""Corbel Legs Mire""},{""weight"":1,""name"":""Corbel Helmet Mire""},{""weight"":1,""name"":""Fresnel Energy LMG Battery (165 Cap)""}]"
3ebf3bfa-dde3-4782-90f6-b003b5af1877,BP_MISSIONREWARD_ASD2B,,"[{""weight"":1,""name"":""Fresnel \""Rockfall\"" Energy LMG""},{""weight"":1,""name"":""Zenith \""Landslide\"" Laser Sniper Rifle""},{""weight"":1,""name"":""Geist Armor Arms""},{""weight"":1,""name"":""Geist Armor Core""},{""weight"":1,""name"":""Geist Armor Legs""},{""weight"":1,""name"":""Geist Armor Helmet""},{""weight"":1,""name"":""Corbel Arms Patina""},{""weight"":1,""name"":""Corbel Core Patina""},{""weight"":1,""name"":""Corbel Legs Patina""},{""weight"":1,""name"":""Corbel Helmet Patina""},{""weight"":1,""name"":""Fresnel Energy LMG Battery (165 Cap)""}]"
a79a915d-5186-4f87-8140-69bca9fc335e,BP_MISSIONREWARD_ASD2C,,"[{""weight"":1,""name"":""Zenith \""Thunderstrike\"" Laser Sniper Rifle""},{""weight"":1,""name"":""Geist Armor Helmet Desert""},{""weight"":1,""name"":""Geist Armor Arms Desert""},{""weight"":1,""name"":""Geist Armor Core Desert""},{""weight"":1,""name"":""Geist Armor Legs Desert""},{""weight"":1,""name"":""Geist Armor Arms Whiteout""},{""weight"":1,""name"":""Geist Armor Core Whiteout""},{""weight"":1,""name"":""Geist Armor Legs Whiteout""},{""weight"":1,""name"":""Geist Armor Helmet Whiteout""},{""weight"":1,""name"":""Corbel Arms Halcyon""},{""weight"":1,""name"":""Corbel Core Halcyon""},{""weight"":1,""name"":""Corbel Legs Halcyon""},{""weight"":1,""name"":""Corbel Helmet Halcyon""},{""weight"":1,""name"":""Zenith Laser Sniper Rifle Battery (22 Cap)""}]"
e0c72a9a-38be-4850-bc0d-dc4f3ee687c2,BP_MISSIONREWARD_ASD2D,,"[{""weight"":1,""name"":""Fresnel \""Icebox\"" Energy LMG""},{""weight"":1,""name"":""Geist Armor Arms Rogue""},{""weight"":1,""name"":""Geist Armor Core Rogue""},{""weight"":1,""name"":""Geist Armor Legs Rogue""},{""weight"":1,""name"":""Geist Armor Helmet Rogue""},{""weight"":1,""name"":""Geist Armor Arms Whiteout""},{""weight"":1,""name"":""Geist Armor Core Whiteout""},{""weight"":1,""name"":""Geist Armor Legs Whiteout""},{""weight"":1,""name"":""Geist Armor Helmet Whiteout""},{""weight"":1,""name"":""Corbel Arms Smolder""},{""weight"":1,""name"":""Corbel Core Smolder""},{""weight"":1,""name"":""Corbel Legs Smolder""},{""weight"":1,""name"":""Corbel Helmet Smolder""},{""weight"":1,""name"":""Fresnel Energy LMG Battery (165 Cap)""}]"
903fb48b-ea72-48c0-b6d1-ece7c7f1e2f3,BP_MISSIONREWARD_ASD3,,"[{""weight"":1,""name"":""Zenith \""Darkwave\"" Laser Sniper Rifle""},{""weight"":1,""name"":""Fresnel \""Molten\"" Energy LMG""},{""weight"":1,""name"":""Geist Armor Arms ASD Edition""},{""weight"":1,""name"":""Geist Armor Core ASD Edition""},{""weight"":1,""name"":""Geist Armor Legs ASD Edition""},{""weight"":1,""name"":""Geist Armor Helmet ASD Edition""},{""weight"":1,""name"":""Zenith Laser Sniper Rifle Battery (22 Cap)""}]"
f14e629c-3346-4ca8-9204-df523ae54822,BP_MISSIONREWARD_BHG_ASDFacilityDelving_EngineeringWing_EliminateSpecific,,"[{""weight"":1,""name"":""Palatino Arms Sunstone""},{""weight"":1,""name"":""Palatino Core Sunstone""},{""weight"":1,""name"":""Palatino Legs Sunstone""},{""weight"":1,""name"":""Palatino Helmet Sunstone""}]"
6d549de3-21d6-4c46-ba89-2970a4cf7286,BP_MISSIONREWARD_BHG_ASDFacilityDelving_ResearchWing_EliminateSpecific,,"[{""weight"":1,""name"":""Palatino Arms Metropolis""},{""weight"":1,""name"":""Palatino Core Metropolis""},{""weight"":1,""name"":""Palatino Legs Metropolis""},{""weight"":1,""name"":""Palatino Helmet Metropolis""},{""weight"":1,""name"":""Palatino Arms Daystar""},{""weight"":1,""name"":""Palatino Core Daystar""},{""weight"":1,""name"":""Palatino Legs Sunstone""},{""weight"":1,""name"":""Palatino Helmet Daystar""}]"
4937f5e9-f42e-4d8a-a6c4-96517028c548,BP_MISSIONREWARD_BitZeros_BlackBoxRecovery,,"[{""weight"":1,""name"":""Lumin V SMG""},{""weight"":1,""name"":""Arrowhead Sniper Rifle""},{""weight"":1,""name"":""Aves Arms""},{""weight"":1,""name"":""Aves Core""},{""weight"":1,""name"":""Aves Legs""},{""weight"":1,""name"":""Aves Helmet""},{""weight"":1,""name"":""Aves Shrike Core""},{""weight"":1,""name"":""Aves Shrike Arms""},{""weight"":1,""name"":""Aves Shrike Legs""},{""weight"":1,""name"":""Aves Shrike Helmet""},{""weight"":1,""name"":""Lumin V SMG Battery (45 cap)""},{""weight"":1,""name"":""Arrowhead Sniper Rifle Battery (16 cap)""}]"
fa0be2ae-124b-4505-a45d-80175c8f0b37,BP_MISSIONREWARD_BitZeros_RecoverItem_PyroNyx,,"[{""weight"":1,""name"":""Custodian SMG""},{""weight"":1,""name"":""Custodian \""Midnight\"" SMG""},{""weight"":1,""name"":""Custodian \""Scorched\"" SMG""},{""weight"":1,""name"":""Arden-SL Arms""},{""weight"":1,""name"":""Arden-SL Core""},{""weight"":1,""name"":""Arden-SL Legs""},{""weight"":1,""name"":""Arden-SL Helmet""},{""weight"":1,""name"":""Custodian SMG Magazine (60 cap)""}]"
636a76a2-0fbb-4f7f-aa69-7187f84aa961,BP_MISSIONREWARD_BitZeros_RecoverItem_Stanton,,"[{""weight"":1,""name"":""Lumin V SMG""},{""weight"":1,""name"":""Inquisitor Core Black""},{""weight"":1,""name"":""Inquisitor Arms Black""},{""weight"":1,""name"":""Inquisitor Legs Black""},{""weight"":1,""name"":""Morningstar Helmet Icefall""},{""weight"":1,""name"":""Inquisitor Core Grey""},{""weight"":1,""name"":""Inquisitor Arms Grey""},{""weight"":1,""name"":""Inquisitor Legs Grey""},{""weight"":1,""name"":""Lumin V SMG Battery (45 cap)""}]"
