Config Class,Config Type,Tagged Config Name,Tag GUIDs,Initial Slots Probability,Config Respawn Time Multiplier,Slot Index,Harvestable GUID,Harvestable Class,Harvestable Path,Harvestable Entity GUID,Harvestable Entity Class,Harvestable Entity Path,Harvestable Setup GUID,Harvestable Setup Class,Relative Probability,Deepest Relative Probability,Harvestable Respawn Time Multiplier,Geometry Tags,Referenced Config GUID,Referenced Config Class,Referenced Config Path,Record GUID,Record Path
APX_MineFacility_Exterior,multi-manual,FPS mineables,4ae42675-8387-4f36-b697-eb888fa1a7e5,0.7,1,0,b4dbb414-4946-437a-870b-0df49007603b,FPSMining_Aphorite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,,,0.4,,1,6874072c-c021-43bc-b8d9-d06b810102c5,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
APX_MineFacility_Exterior,multi-manual,FPS mineables,4ae42675-8387-4f36-b697-eb888fa1a7e5,0.7,1,1,aeb1d11d-52b8-4bb1-9c8d-c910539cb532,FPSMining_Dolivine,libs/foundry/records/harvestable/harvestablepresets/fpsmining_dolivine.xml,d4130655-d1dd-4daa-8ac2-5aba1081b3ae,MineableRock_FPS_Dolivine,libs/foundry/records/entities/mineable/mineablerock_fps_dolivine.xml,,,0.7,,1,6874072c-c021-43bc-b8d9-d06b810102c5,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
APX_MineFacility_Exterior,multi-manual,FPS mineables,4ae42675-8387-4f36-b697-eb888fa1a7e5,0.7,1,2,f42be172-0391-4482-b3ff-6f97c2182272,FPSMining_Hadanite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_hadanite.xml,3998d58a-4021-4697-9432-2162aff01c73,MineableRock_FPS_Hadanite,libs/foundry/records/entities/mineable/mineablerock_fps_hadanite.xml,,,0.9,,1,6874072c-c021-43bc-b8d9-d06b810102c5,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
APX_MineFacility_Exterior,multi-manual,FPS mineables,4ae42675-8387-4f36-b697-eb888fa1a7e5,0.7,1,3,a33e0397-0217-455c-b1ef-18d6f6577638,FPSMining_Janalite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_janalite.xml,41d363ad-d135-4493-9b77-a75f40a74ce4,MineableRock_FPS_Janalite,libs/foundry/records/entities/mineable/mineablerock_fps_janalite.xml,,,0.1,,1,,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
APX_MineFacility_Exterior,multi-manual,Ground mineables,9a852f39-2974-4313-97a3-a64939d411c8,0.4,1,0,f0207105-2593-4082-be26-17849954bfd6,GroundVehicleMining_Glacosite,libs/foundry/records/harvestable/harvestablepresets/groundvehiclemining_glacosite.xml,096c312d-616c-42cf-bc7f-f1c53d2920c8,MineableRock_GroundVehicle_Glacosite,libs/foundry/records/entities/mineable/mineablerock_groundvehicle_glacosite.xml,,,0.5,,1,,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
APX_MineFacility_Exterior,multi-manual,Ground mineables,9a852f39-2974-4313-97a3-a64939d411c8,0.4,1,1,0b32a5ed-a6e4-4947-9e8f-b59da59108db,GroundVehicleMining_Beradom,libs/foundry/records/harvestable/harvestablepresets/groundvehiclemining_beradom.xml,43090a6d-e2e4-4678-8be1-e893c3a96788,MineableRock_GroundVehicle_Beradom,libs/foundry/records/entities/mineable/mineablerock_groundvehicle_beradom.xml,,,0.6,,1,,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
APX_MineFacility_Exterior,multi-manual,Ground mineables,9a852f39-2974-4313-97a3-a64939d411c8,0.4,1,2,7510bf4b-175e-43f3-818b-469dae715290,GroundVehicleMining_Feynmaline,libs/foundry/records/harvestable/harvestablepresets/groundvehiclemining_feynmaline.xml,6755e998-e87c-47bf-8d78-a05e510f792f,MineableRock_GroundVehicle_Feynmaline,libs/foundry/records/entities/mineable/mineablerock_groundvehicle_feynmaline.xml,,,0.9,,1,,,,,9f7d8144-8e2f-4dc9-a7c3-7f1960269299,libs/foundry/records/harvestable/slotpresets/apexgeddon/apx_minefacility_exterior.xml
AsteroidBase_Dungeon_001,multi-manual,LOOSE - MINING,dab1859b-5683-4764-a116-d16528dc62ee,1,1,0,a33e0397-0217-455c-b1ef-18d6f6577638,FPSMining_Janalite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_janalite.xml,41d363ad-d135-4493-9b77-a75f40a74ce4,MineableRock_FPS_Janalite,libs/foundry/records/entities/mineable/mineablerock_fps_janalite.xml,,,0.015,,1,,,,,70e7c2e7-30d2-48eb-8e0d-4645036ba282,libs/foundry/records/harvestable/slotpresets/asteroidbases/asteroidbase_dungeon_001.xml
AsteroidBase_Dungeon_001,multi-manual,LOOSE - MINING,dab1859b-5683-4764-a116-d16528dc62ee,1,1,1,f42be172-0391-4482-b3ff-6f97c2182272,FPSMining_Hadanite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_hadanite.xml,3998d58a-4021-4697-9432-2162aff01c73,MineableRock_FPS_Hadanite,libs/foundry/records/entities/mineable/mineablerock_fps_hadanite.xml,,,0.5,,1,,,,,70e7c2e7-30d2-48eb-8e0d-4645036ba282,libs/foundry/records/harvestable/slotpresets/asteroidbases/asteroidbase_dungeon_001.xml
AsteroidBase_Dungeon_001,multi-manual,LOOSE - MINING,dab1859b-5683-4764-a116-d16528dc62ee,1,1,2,b4dbb414-4946-437a-870b-0df49007603b,FPSMining_Aphorite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,,,0.65,,1,,,,,70e7c2e7-30d2-48eb-8e0d-4645036ba282,libs/foundry/records/harvestable/slotpresets/asteroidbases/asteroidbase_dungeon_001.xml
Cave_Aberdeen_Medium,single,,,0.5,1,0,b4dbb414-4946-437a-870b-0df49007603b,FPSMining_Aphorite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,,,43,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,9eee7176-ac57-4126-9c19-4f68a737d0f9,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_medium.xml
Cave_Aberdeen_Medium,single,,,0.5,1,1,f42be172-0391-4482-b3ff-6f97c2182272,FPSMining_Hadanite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_hadanite.xml,3998d58a-4021-4697-9432-2162aff01c73,MineableRock_FPS_Hadanite,libs/foundry/records/entities/mineable/mineablerock_fps_hadanite.xml,,,31,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,9eee7176-ac57-4126-9c19-4f68a737d0f9,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_medium.xml
Cave_Aberdeen_Medium,single,,,0.5,1,2,aeb1d11d-52b8-4bb1-9c8d-c910539cb532,FPSMining_Dolivine,libs/foundry/records/harvestable/harvestablepresets/fpsmining_dolivine.xml,d4130655-d1dd-4daa-8ac2-5aba1081b3ae,MineableRock_FPS_Dolivine,libs/foundry/records/entities/mineable/mineablerock_fps_dolivine.xml,,,25,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,9eee7176-ac57-4126-9c19-4f68a737d0f9,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_medium.xml
Cave_Aberdeen_Medium,single,,,0.5,1,3,a33e0397-0217-455c-b1ef-18d6f6577638,FPSMining_Janalite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_janalite.xml,41d363ad-d135-4493-9b77-a75f40a74ce4,MineableRock_FPS_Janalite,libs/foundry/records/entities/mineable/mineablerock_fps_janalite.xml,,,0.2,0.4,1,,,,,9eee7176-ac57-4126-9c19-4f68a737d0f9,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_medium.xml
Cave_Aberdeen_Poor,single,,,0.4,1,0,b4dbb414-4946-437a-870b-0df49007603b,FPSMining_Aphorite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,,,41,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,19b809ff-ab09-4b1b-975e-ac297dee211a,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_poor.xml
Cave_Aberdeen_Poor,single,,,0.4,1,1,aeb1d11d-52b8-4bb1-9c8d-c910539cb532,FPSMining_Dolivine,libs/foundry/records/harvestable/harvestablepresets/fpsmining_dolivine.xml,d4130655-d1dd-4daa-8ac2-5aba1081b3ae,MineableRock_FPS_Dolivine,libs/foundry/records/entities/mineable/mineablerock_fps_dolivine.xml,,,33,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,19b809ff-ab09-4b1b-975e-ac297dee211a,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_poor.xml
Cave_Aberdeen_Poor,single,,,0.4,1,2,f42be172-0391-4482-b3ff-6f97c2182272,FPSMining_Hadanite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_hadanite.xml,3998d58a-4021-4697-9432-2162aff01c73,MineableRock_FPS_Hadanite,libs/foundry/records/entities/mineable/mineablerock_fps_hadanite.xml,,,25,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,19b809ff-ab09-4b1b-975e-ac297dee211a,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_poor.xml
Cave_Aberdeen_Poor,single,,,0.4,1,3,a33e0397-0217-455c-b1ef-18d6f6577638,FPSMining_Janalite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_janalite.xml,41d363ad-d135-4493-9b77-a75f40a74ce4,MineableRock_FPS_Janalite,libs/foundry/records/entities/mineable/mineablerock_fps_janalite.xml,,,0.2,0.4,1,,,,,19b809ff-ab09-4b1b-975e-ac297dee211a,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_poor.xml
Cave_Aberdeen_Rich,single,,,0.8,1,0,f42be172-0391-4482-b3ff-6f97c2182272,FPSMining_Hadanite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_hadanite.xml,3998d58a-4021-4697-9432-2162aff01c73,MineableRock_FPS_Hadanite,libs/foundry/records/entities/mineable/mineablerock_fps_hadanite.xml,,,42,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,f0a3b208-1de9-4543-b670-94e92f51d864,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_rich.xml
Cave_Aberdeen_Rich,single,,,0.8,1,1,b4dbb414-4946-437a-870b-0df49007603b,FPSMining_Aphorite,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,,,31,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,f0a3b208-1de9-4543-b670-94e92f51d864,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_rich.xml
Cave_Aberdeen_Rich,single,,,0.8,1,2,aeb1d11d-52b8-4bb1-9c8d-c910539cb532,FPSMining_Dolivine,libs/foundry/records/harvestable/harvestablepresets/fpsmining_dolivine.xml,d4130655-d1dd-4daa-8ac2-5aba1081b3ae,MineableRock_FPS_Dolivine,libs/foundry/records/entities/mineable/mineablerock_fps_dolivine.xml,,,26,,1,9c6ef328-5118-4882-9ad4-2f391322af21,,,,f0a3b208-1de9-4543-b670-94e92f51d864,libs/foundry/records/harvestable/slotpresets/cave_aberdeen_rich.xml
