description_key,mema_uec,rate_p50,dur_avg,avg_diff,avg_sat,runs
@vaughn_assassination_FPS_UGF_illegal_boss_desc_001,397179,4.71428571428571,21,3,3.5,2
@Headhunters_Delivery_Outpost_Multi_desc_001,723000,12,5,1,7,1
@Foxwell_SecurityPatrol_E_Desc_001,482143,8.57142857142857,7.8,1.8,4.3,11
@RAIN_collectresources_multiple_GEN_desc_01,138333,1.33333333333333,45,1,5,1
@HaulCargo_AtoB_desc,247500,5.5,11,1,7,2
@Foxwell_bombingrun_M_desc_001,171929,4.14285714285714,14.5,2,4.5,2
@Foxwell_bombingrun_E_desc_001,224438,6.75,9,2,3.5,2
@HaulCargo_AtoB_desc,114750,1.5,22.6,1.6,4.8,69
@Vaughn_EliminateSpecific_FPS_Rockcracker_Power_desc_001,465000,6,10,3,,1
@Shubin_Industrial_HandMining_Pyro_E_Local_Desc_001,96000,1,60,3,3,2
@eckhart_defendship_VLRT_desc_001,355714,8.57142857142857,7.2,1.7,3.9,34
@Foxwell_DefendLocation_VE_Desc_001,118125,3.5,14.8,1.3,3.5,4
@headhunters_EliminateSpecific_Generic_E_desc_001,960000,15,14.8,1,2.3,9
@LingFamily_HaulCargo_MultiToSingle_desc_Party,350795,1.36363636363636,48.3,1.3,6.3,3
@HaulCargo_AtoB_desc,90000,2.60869565217391,18.2,1.3,5.5,5
@HaulCargo_AtoB_desc,68523,1.36363636363636,38.7,1.8,7,22
@HaulCargo_AtoB_desc,149000,4,31.3,1,7,3
@HaulCargo_AtoB_desc,183059,3.45394736842105,17,1.4,4.8,6
@vaughn_assassination_FPS_UGF_legal_boss_desc_001,530000,6.66666666666667,8,2.5,3.5,3
@Covalex_HaulCargo_SingleToMulti_RefinedOre,385465,1.3953488372093,43,,,1
@Headhunters_Delivery_Outpost_Multi_desc_001,1944000,12,5,1,7,1
@headhunters_eliminateall_XT_derelicts_desc_01,633462,4.61538461538461,13,3,3,1
@RedWind_HaulCargo_AToB_desc_01,1768333,2.22222222222222,28.8,,,12
@Headhunters_DefendLocation_VE_Desc_001,155769,4.61538461538461,12.3,2,,3
@headhunters_EliminateSpecific_Asteroid_Generic_VE_desc_001,158958,5.83333333333333,9.7,2,5,6
@Foxwell_SecurityPatrol_VH_Desc_001,455000,2,30,7,4,1
@Foxwell_DefendLocation_VE_Desc_001,135000,4,17,2,6,8
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,700745,2.10909090909091,29,2,5.5,2
@CFP_SecurityPatrol_VE_Desc_001,97200,2.7,22.5,1.5,1,2
@blackbox_recover_desc_intro_001,112500,3.33333333333333,19.3,2.5,3,3
@HaulCargo_AtoB_desc,262500,6,10,1,7,1
@cfp_eliminateall_intro_desc_001,118000,4,23.3,2,3.5,3
@Foxwell_ShipAmbush_VE_desc_001,270000,12,5.6,1.4,3.6,13
@RAIN_intro_desc_01,207500,2,36.5,1.3,3.3,4
@GFS_ShipWaveAttack_Mission01_Desc,200727,8.72727272727273,8.8,1,6,4
@RAIN_collectresources_multiple_GEN_desc_01,345833,3.33333333333333,22.3,1,6,3
@bhg_bounty_desc_ASD_Engineering_001,185500,3.5,23.1,1.5,4,8
@Eckhart_ShipAmbush_E_desc,226500,6,10.8,2.2,4.2,5
@destroyprobelegal_desc,79000,4,21.9,1.2,5.2,21
@RedWind_HaulCargo_AToB_desc_01,330000,3.15789473684211,19,,,3
@cfp_bombingrun_E_desc_001,673714,10.2857142857143,10.7,1,5.3,6
@CleanAir_ResourceGathering_Small_Filters_desc,565000,4,15,1,6,1
@headhunters_EliminateSpecific_Asteroid_Generic_VE_desc_001,163500,6,8.9,1.4,3.2,9
@Foxwell_DefendDestructibleEntites_M_Desc_001,828333,6.66666666666667,9,6,3,1
@Foxwell_SecurityPatrol_VE_Desc_001,337500,10,5.7,1.7,4,3
@searchbodyspace_desc_VE,183750,7.5,7.7,1,4,3
@bitzeros_shipheist_E_desc_001,,6.33333333333333,9.5,2.5,6,2
@Shubin_Industrial_ShipMining_Stanton_VE_Local_Desc_001,1455000,30,3.2,1,3.5,21
@RAIN_collectresources_multiple_GEN_desc_01,138333,1.33333333333333,45,1,5,1
@cfp_sabotage_servers_VH_XT_desc_001,976500,6,10,1,5,1
@Shubin_Industrial_GroundVehicle_Stanton_E_DiscoverPlanetary_Desc_001,199950,2.86666666666667,21.5,1,6,2
@blackbox_recover_desc_VE_001,133759,3.63970588235294,15.7,1.8,3.5,6
@InterSec_ResourceGathering_Cryopods_Desc,852000,6,11.8,2.3,3,8
@Hockcrow_SearchBody_VeryEasy_Description_001,115588,3.52941176470588,16.8,3,5,5
@Shubin_Industrial_HandMining_Intro_Local_Desc_001,114921,2.53968253968254,28.8,1.5,5,8
@northrock_bounty_fps_UGF_boss_desc_001,491488,5.47619047619048,13.5,5,6,6
@blackbox_recover_desc_intro_001,252656,6.875,10.8,1,4,6
@Foxwell_EliminateAll_Allies_desc_001,289227,5.72727272727273,11,1.5,2.7,12
@CleanAir_ResourceGathering_Small_Filters_desc,505000,4,15,1,6,1
@HaulCargo_AtoB_desc,252237,1.57894736842105,38,2,,1
@Shubin_Industrial_ShipMining_Nyx_E_Local_Desc_001,81000,1.33333333333333,45,3,,1
@blackbox_recover_desc_E_001,140294,3.52941176470588,14.3,1.7,4,3
@CleanAir_Courier_Combat_desc,407000,4,15,1,7,1
@cfp_defend-criminals_desc_001,765000,12,5,,,1
@cfp_sabotage_servers_M_HH_desc_001,,6.47727272727273,8.8,1,5,4
@Foxwell_EliminateAll_desc_001,180000,5,10.7,2.7,3.7,3
@Hockrow_FacilityDelve_P2M1_Repeat_desc,129375,1.25,56.1,3.8,4.7,16
@EckhartSecurity_EliminateAll_storm_shut_H_desc_001,77102,1.34090909090909,27,,,2
@foxwell_DefendShip_H_desc_001,4672200,31.2,13,2.5,3,2
@Highpoint_KillAnimals_storm_H_desc_001,2787750,31.5,10.5,4,4,2
@cfp_defend_regionshift_desc_001,298000,4,15,2,1,1
@EckhartSecurity_Mercenary_Intro_Desc_001,85909,5.45454545454545,13.3,1,4,7
@Headhunters_EliminateAll_PAF_H_desc_001,119400,2.4,25,7,7,1
@Foxwell_ShipWaveAttack_ClearHostiles_Desc_M_001,718875,6.75,7.8,2,4.7,4
@Shubin_Industrial_ShipMining_Stanton_VE_Local_Desc_001,262083,5.66666666666667,25.5,2,6,2
@cfp_sabotage_generators_VE_desc_001,166250,4.375,13.8,3,4.3,4
@shubin_rockcracker_pvp_desc_01,,0.5,120.3,7,7,4
@Headhunters_defend_XT_VH_desc_001,1664351,6.05769230769231,10.5,3,3,2
@Intersec_DefendShip_Vanduul_Desc_VeryHard_001,535227,2.72727272727273,38.4,4.5,5.3,5
@cfp_sabotage_generators_VE_desc_001,241172,3.9375,28.8,2.3,5,4
@Hockrow_FacilityDelve_P2M1_Repeat_desc,166000,4,20.1,1.1,3,13
@HaulCargo_AtoB_desc,17641,0.422535211267606,142,,,1
@HaulCargo_AtoB_desc,263108,1.62162162162162,30,1,4,3
@RAIN_collectresources_multiple_GEN_desc_01,466500,2,201.2,5.4,1.9,11
@Foxwell_ShipWaveAttack_ClearHostiles_Desc_E_001,412500,6,9.8,3.8,5.3,19
@Foxwell_SecurityPatrol_M_Desc_001,456818,5.45454545454545,11.1,2.3,3.7,9
@headhunters_EliminateSpecific_Asteroid_Generic_M_desc_001,471000,4,19.7,3,4.3,13
@HeadHunters_ShipAmbush_E_desc_001,374000,11,7,1,1,8
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,121042,0.416666666666667,144,,,1
@northrock_bounty_fps_UGF_boss_nocivs_desc_001,446625,4.5,13.5,3,6.5,2
@HeadHunters_ShipAmbush_Intro_desc_001,270000,12,6.6,2.7,2.5,12
@cfp_bounty_desc_HeadHunters_001,795000,12,5.7,1,4,3
@Foxwell_DestroyNarcotics_H_desc_001,567000,4,15,3.5,3,2
@Eckhart_EscortShips_E_desc,280588,3.52941176470588,23,2,3,11
@CFP_RecoverCargo_Easy_Description,131000,4,16.6,1.5,3.7,7
@EckhartSecurity_Defend_E_Desc_001,394659,5.22727272727273,12.4,2.5,4,10
@Shubin_Industrial_HandMining_Pyro_M_DiscoverPlanetary_Desc_001,223125,4.25,94,1.7,2.7,4
@HaulCargo_AtoB_desc,301500,6,10,1,7,2
@SalvageContractor_Description,,0.983606557377049,61,6,1,1
@Intersec_KillShip_Desc_Easy_001,407036,4.14285714285714,16.6,2.5,5.4,34
@Intersec_KillShip_Desc_Medium_001,633750,5,11.7,3,5.4,49
@Covalex_HaulCargo_AToB_Scrap,372000,6,10,1,7,1
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,261000,4,15,2,7,1
@HaulCargo_SingleToMulti_desc,261000,4,15,2,7,1
@HaulCargo_MultiToSingle_desc,239000,4,15,2,7,1
@HaulCargo_MultiToSingle_desc,239000,4,15,2,7,1
@Covalex_HaulCargo_SingleToMulti_desc_ProcessedFood_Stanton2,365250,3,20,3,7,1
@BHG_ShipWaveAttack_DrawOutBoss_VH_Desc_001,1593750,5,12,,,1
@HaulCargo_SingleToMulti_desc,270750,3,20,3,7,1
@HaulCargo_SingleToMulti_desc,245909,1.81818181818182,33,3,4,1
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,170455,1.81818181818182,33,3,4,1
@HaulCargo_MultiToSingle_desc,165441,1.76470588235294,34,3,4,1
@HaulCargo_MultiToSingle_desc,214444,2.22222222222222,27,3,5,1
@HaulCargo_AtoB_desc,499500,3,20,2,6,1
@HaulCargo_SingleToMulti_desc,314211,3.15789473684211,23.8,1.1,5.9,15
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,245025,2.7,22.5,2,6,2
@HaulCargo_AtoB_desc,337759,2.06896551724138,30.6,3,5.5,7
@HaulCargo_MultiToSingle_desc,210000,2.5,24,1.8,5.2,10
@HaulCargo_AtoB_desc,139154,2.76923076923077,27.8,1.3,6,4
@HaulCargo_SingleToMulti_desc,307500,5,12.5,1.5,6,2
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,180133,1.86666666666667,37.5,2,4.5,4
@Covalex_HaulCargo_AToB_Scrap,328500,4.5,15,1.5,7,2
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,318529,3.52941176470588,18.9,1.1,6.1,16
@HaulCargo_SingleToMulti_desc,121837,1.22448979591837,43.8,3,7,6
@HaulCargo_SingleToMulti_desc,108300,1.2,40,3,7,3
@HaulCargo_SingleToMulti_desc,97869,0.983606557377049,55.8,2,7,18
@RedWind_HaulCargo_MultiToSingle_desc_01,159000,0.923076923076923,65,,,1
@Eckhart_ShipAmbush_M_desc,313500,6.33333333333333,13,1.8,1.6,16
@Hockrow_FacilityDelve_P2M4_desc,105284,1.01724137931034,53.2,,,6
@HaulCargo_MultiToSingle_desc,491250,3,20,2,5,1
@Covalex_HaulCargo_MultiToSingle_desc_ScrapWaste_Stanton3,278000,2,30,2,5,1
@UWC_Refueling_easy_desc_001,985000,20,4.9,2,5.4,8
