Harvestable Preset Class,Harvestable Entity GUID,Harvestable Entity Class,Harvestable Entity Path,Respawn In Slot Time,Special Harvestable String,Record GUID,Record Path
FPSMining_Aphorite,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,3600,,b4dbb414-4946-437a-870b-0df49007603b,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml
FPSMining_Aphorite,ac63f486-e582-473c-b08b-57e446092af0,MineableRock_FPS_Aphorite,libs/foundry/records/entities/mineable/mineablerock_fps_aphorite.xml,3600,,b4dbb414-4946-437a-870b-0df49007603b,libs/foundry/records/harvestable/harvestablepresets/fpsmining_aphorite.xml
FPSMining_Asteroid_Base_Aphorite,5eb04bca-82ed-4658-8953-be7e9b523218,harvestable_base_AsteroidFPSMineable,libs/foundry/records/entities/scitem/harvestables/bases/harvestable_base_asteroidfpsmineable.xml,3600,,41dd2e4f-e03f-4dde-8d70-a7ceffa2cb6d,libs/foundry/records/harvestable/harvestablepresets/fpsmining_asteroid_base_aphorite.xml
FPSMining_Asteroid_Base_Aphorite,5eb04bca-82ed-4658-8953-be7e9b523218,harvestable_base_AsteroidFPSMineable,libs/foundry/records/entities/scitem/harvestables/bases/harvestable_base_asteroidfpsmineable.xml,3600,,41dd2e4f-e03f-4dde-8d70-a7ceffa2cb6d,libs/foundry/records/harvestable/harvestablepresets/fpsmining_asteroid_base_aphorite.xml
FPSMining_Asteroid_Base_Dolivine,5eb04bca-82ed-4658-8953-be7e9b523218,harvestable_base_AsteroidFPSMineable,libs/foundry/records/entities/scitem/harvestables/bases/harvestable_base_asteroidfpsmineable.xml,3600,,a776880f-c8e0-4642-bbbc-889d9b7b1037,libs/foundry/records/harvestable/harvestablepresets/fpsmining_asteroid_base_dolivine.xml
FPSMining_Asteroid_Base_Dolivine,5eb04bca-82ed-4658-8953-be7e9b523218,harvestable_base_AsteroidFPSMineable,libs/foundry/records/entities/scitem/harvestables/bases/harvestable_base_asteroidfpsmineable.xml,3600,,a776880f-c8e0-4642-bbbc-889d9b7b1037,libs/foundry/records/harvestable/harvestablepresets/fpsmining_asteroid_base_dolivine.xml
FPSMining_Asteroid_Base_Hadanite,5eb04bca-82ed-4658-8953-be7e9b523218,harvestable_base_AsteroidFPSMineable,libs/foundry/records/entities/scitem/harvestables/bases/harvestable_base_asteroidfpsmineable.xml,3600,,36f22fc5-6b6a-4781-bf60-f205ab0ddda0,libs/foundry/records/harvestable/harvestablepresets/fpsmining_asteroid_base_hadanite.xml
FPSMining_Asteroid_Base_Hadanite,5eb04bca-82ed-4658-8953-be7e9b523218,harvestable_base_AsteroidFPSMineable,libs/foundry/records/entities/scitem/harvestables/bases/harvestable_base_asteroidfpsmineable.xml,3600,,36f22fc5-6b6a-4781-bf60-f205ab0ddda0,libs/foundry/records/harvestable/harvestablepresets/fpsmining_asteroid_base_hadanite.xml
FPSMining_Carinite_large,8cbe96c4-9222-4241-9d57-3c6b0f1dba90,MineableRock_FPS_Carinite_large,libs/foundry/records/entities/mineable/mineablerock_fps_carinite_large.xml,3600,,3efabc99-b3b9-4c46-b5db-42f82c74f6a6,libs/foundry/records/harvestable/harvestablepresets/fpsmining_carinite_large.xml
FPSMining_Carinite_large,8cbe96c4-9222-4241-9d57-3c6b0f1dba90,MineableRock_FPS_Carinite_large,libs/foundry/records/entities/mineable/mineablerock_fps_carinite_large.xml,3600,,3efabc99-b3b9-4c46-b5db-42f82c74f6a6,libs/foundry/records/harvestable/harvestablepresets/fpsmining_carinite_large.xml
